#LAMBDA    g      r        i      z        Y     atm
3800.0 0.00000 0.00000 0.00000 0.00000 0.00000 0.60928
3805.0 0.00024 0.00000 0.00000 0.00000 0.00000 0.61078
3810.0 0.00048 0.00000 0.00000 0.00000 0.00000 0.61227
3815.0 0.00054 0.00000 0.00000 0.00000 0.00000 0.61371
3820.0 0.00060 0.00000 0.00000 0.00000 0.00000 0.61520
3825.0 0.00060 0.00000 0.00000 0.00000 0.00000 0.61661
3830.0 0.00060 0.00000 0.00000 0.00000 0.00000 0.61805
3835.0 0.00070 0.00000 0.00000 0.00000 0.00000 0.61933
3840.0 0.00079 0.00000 0.00000 0.00000 0.00000 0.62064
3845.0 0.00087 0.00000 0.00000 0.00000 0.00000 0.62198
3850.0 0.00095 0.00000 0.00000 0.00000 0.00000 0.62333
3855.0 0.00103 0.00000 0.00000 0.00000 0.00000 0.62483
3860.0 0.00111 0.00000 0.00000 0.00000 0.00000 0.62623
3865.0 0.00123 0.00000 0.00000 0.00000 0.00000 0.62758
3870.0 0.00135 0.00000 0.00000 0.00000 0.00000 0.62886
3875.0 0.00147 0.00000 0.00000 0.00000 0.00000 0.63014
3880.0 0.00159 0.00000 0.00000 0.00000 0.00000 0.63148
3885.0 0.00178 0.00000 0.00000 0.00000 0.00000 0.63283
3890.0 0.00198 0.00000 0.00000 0.00000 0.00000 0.63408
3895.0 0.00218 0.00000 0.00000 0.00000 0.00000 0.63543
3900.0 0.00238 0.00000 0.00000 0.00000 0.00000 0.63677
3905.0 0.00237 0.00000 0.00000 0.00000 0.00000 0.63803
3910.0 0.00235 0.00000 0.00000 0.00000 0.00000 0.63937
3915.0 0.00334 0.00000 0.00000 0.00000 0.00000 0.64056
3920.0 0.00434 0.00000 0.00000 0.00000 0.00000 0.64190
3925.0 0.00659 0.00000 0.00000 0.00000 0.00000 0.64322
3930.0 0.00885 0.00000 0.00000 0.00000 0.00000 0.64461
3935.0 0.01112 0.00000 0.00000 0.00000 0.00000 0.64592
3940.0 0.01341 0.00000 0.00000 0.00000 0.00000 0.64727
3945.0 0.01368 0.00000 0.00000 0.00000 0.00000 0.64846
3950.0 0.01396 0.00000 0.00000 0.00000 0.00000 0.64956
3955.0 0.04649 0.00000 0.00000 0.00000 0.00000 0.65068
3960.0 0.07916 0.00000 0.00000 0.00000 0.00000 0.65200
3965.0 0.11349 0.00000 0.00000 0.00000 0.00000 0.65338
3970.0 0.14792 0.00000 0.00000 0.00000 0.00000 0.65455
3975.0 0.18245 0.00000 0.00000 0.00000 0.00000 0.65567
3980.0 0.21710 0.00000 0.00000 0.00000 0.00000 0.65679
3985.0 0.21702 0.00000 0.00000 0.00000 0.00000 0.65795
3990.0 0.21702 0.00000 0.00000 0.00000 0.00000 0.65934
3995.0 0.22946 0.00000 0.00000 0.00000 0.00000 0.66044
4000.0 0.24196 0.00000 0.00000 0.00000 0.00000 0.66156
4005.0 0.24782 0.00000 0.00000 0.00000 0.00000 0.66272
4010.0 0.25377 0.00000 0.00000 0.00000 0.00000 0.66404
4015.0 0.25970 0.00000 0.00000 0.00000 0.00000 0.66527
4020.0 0.26570 0.00000 0.00000 0.00000 0.00000 0.66663
4025.0 0.26781 0.00000 0.00000 0.00000 0.00000 0.66786
4030.0 0.26989 0.00000 0.00000 0.00000 0.00000 0.66903
4035.0 0.27218 0.00000 0.00000 0.00000 0.00000 0.67012
4040.0 0.27447 0.00000 0.00000 0.00000 0.00000 0.67122
4045.0 0.27518 0.00000 0.00000 0.00000 0.00000 0.67231
4050.0 0.27589 0.00000 0.00000 0.00000 0.00000 0.67341
4055.0 0.27918 0.00000 0.00000 0.00000 0.00000 0.67455
4060.0 0.28255 0.00000 0.00000 0.00000 0.00000 0.67584
4065.0 0.28453 0.00000 0.00000 0.00000 0.00000 0.67714
4070.0 0.28645 0.00000 0.00000 0.00000 0.00000 0.67828
4075.0 0.29074 0.00000 0.00000 0.00000 0.00000 0.67931
4080.0 0.29494 0.00000 0.00000 0.00000 0.00000 0.68011
4085.0 0.29568 0.00000 0.00000 0.00000 0.00000 0.68114
4090.0 0.29645 0.00000 0.00000 0.00000 0.00000 0.68221
4095.0 0.29904 0.00000 0.00000 0.00000 0.00000 0.68335
4100.0 0.30158 0.00000 0.00000 0.00000 0.00000 0.68435
4105.0 0.30343 0.00000 0.00000 0.00000 0.00000 0.68551
4110.0 0.30530 0.00000 0.00000 0.00000 0.00000 0.68672
4115.0 0.30721 0.00000 0.00000 0.00000 0.00000 0.68800
4120.0 0.30906 0.00000 0.00000 0.00000 0.00000 0.68914
4125.0 0.31047 0.00000 0.00000 0.00000 0.00000 0.69000
4130.0 0.31185 0.00000 0.00000 0.00000 0.00000 0.69080
4135.0 0.31427 0.00000 0.00000 0.00000 0.00000 0.69173
4140.0 0.31681 0.00000 0.00000 0.00000 0.00000 0.69292
4145.0 0.31835 0.00000 0.00000 0.00000 0.00000 0.69420
4150.0 0.31986 0.00000 0.00000 0.00000 0.00000 0.69541
4155.0 0.32481 0.00000 0.00000 0.00000 0.00000 0.69662
4160.0 0.32970 0.00000 0.00000 0.00000 0.00000 0.69767
4165.0 0.33271 0.00000 0.00000 0.00000 0.00000 0.69874
4170.0 0.33565 0.00000 0.00000 0.00000 0.00000 0.69965
4175.0 0.33860 0.00000 0.00000 0.00000 0.00000 0.70056
4180.0 0.34160 0.00000 0.00000 0.00000 0.00000 0.70156
4185.0 0.34255 0.00000 0.00000 0.00000 0.00000 0.70247
4190.0 0.34357 0.00000 0.00000 0.00000 0.00000 0.70354
4195.0 0.34423 0.00000 0.00000 0.00000 0.00000 0.70452
4200.0 0.34485 0.00000 0.00000 0.00000 0.00000 0.70543
4205.0 0.34558 0.00000 0.00000 0.00000 0.00000 0.70641
4210.0 0.34630 0.00000 0.00000 0.00000 0.00000 0.70739
4215.0 0.34870 0.00000 0.00000 0.00000 0.00000 0.70830
4220.0 0.35111 0.00000 0.00000 0.00000 0.00000 0.70921
4225.0 0.35181 0.00000 0.00000 0.00000 0.00000 0.71019
4230.0 0.35251 0.00000 0.00000 0.00000 0.00000 0.71117
4235.0 0.35847 0.00000 0.00000 0.00000 0.00000 0.71207
4240.0 0.36437 0.00000 0.00000 0.00000 0.00000 0.71284
4245.0 0.36638 0.00000 0.00000 0.00000 0.00000 0.71365
4250.0 0.36858 0.00000 0.00000 0.00000 0.00000 0.71485
4255.0 0.37083 0.00000 0.00000 0.00000 0.00000 0.71611
4260.0 0.37296 0.00000 0.00000 0.00000 0.00000 0.71715
4265.0 0.37474 0.00000 0.00000 0.00000 0.00000 0.71805
4270.0 0.37645 0.00000 0.00000 0.00000 0.00000 0.71882
4275.0 0.38042 0.00000 0.00000 0.00000 0.00000 0.71956
4280.0 0.38446 0.00000 0.00000 0.00000 0.00000 0.72045
4285.0 0.38514 0.00000 0.00000 0.00000 0.00000 0.72164
4290.0 0.38577 0.00000 0.00000 0.00000 0.00000 0.72275
4295.0 0.39010 0.00000 0.00000 0.00000 0.00000 0.72378
4300.0 0.39429 0.00000 0.00000 0.00000 0.00000 0.72454
4305.0 0.39591 0.00000 0.00000 0.00000 0.00000 0.72514
4310.0 0.39765 0.00000 0.00000 0.00000 0.00000 0.72595
4315.0 0.39947 0.00000 0.00000 0.00000 0.00000 0.72691
4320.0 0.40138 0.00000 0.00000 0.00000 0.00000 0.72802
4325.0 0.40363 0.00000 0.00000 0.00000 0.00000 0.72905
4330.0 0.40572 0.00000 0.00000 0.00000 0.00000 0.72979
4335.0 0.40773 0.00000 0.00000 0.00000 0.00000 0.73039
4340.0 0.40987 0.00000 0.00000 0.00000 0.00000 0.73120
4345.0 0.41237 0.00000 0.00000 0.00000 0.00000 0.73194
4350.0 0.41477 0.00000 0.00000 0.00000 0.00000 0.73251
4355.0 0.41740 0.00000 0.00000 0.00000 0.00000 0.73347
4360.0 0.42011 0.00000 0.00000 0.00000 0.00000 0.73458
4365.0 0.42246 0.00000 0.00000 0.00000 0.00000 0.73569
4370.0 0.42480 0.00000 0.00000 0.00000 0.00000 0.73678
4375.0 0.42716 0.00000 0.00000 0.00000 0.00000 0.73789
4380.0 0.42925 0.00000 0.00000 0.00000 0.00000 0.73854
4385.0 0.43198 0.00000 0.00000 0.00000 0.00000 0.73905
4390.0 0.43457 0.00000 0.00000 0.00000 0.00000 0.73933
4395.0 0.43744 0.00000 0.00000 0.00000 0.00000 0.74007
4400.0 0.44048 0.00000 0.00000 0.00000 0.00000 0.74108
4405.0 0.44259 0.00000 0.00000 0.00000 0.00000 0.74227
4410.0 0.44464 0.00000 0.00000 0.00000 0.00000 0.74336
4415.0 0.44652 0.00000 0.00000 0.00000 0.00000 0.74416
4420.0 0.44844 0.00000 0.00000 0.00000 0.00000 0.74502
4425.0 0.45003 0.00000 0.00000 0.00000 0.00000 0.74569
4430.0 0.45160 0.00000 0.00000 0.00000 0.00000 0.74633
4435.0 0.45327 0.00000 0.00000 0.00000 0.00000 0.74713
4440.0 0.45489 0.00000 0.00000 0.00000 0.00000 0.74785
4445.0 0.45631 0.00000 0.00000 0.00000 0.00000 0.74826
4450.0 0.45782 0.00000 0.00000 0.00000 0.00000 0.74883
4455.0 0.45951 0.00000 0.00000 0.00000 0.00000 0.74970
4460.0 0.46135 0.00000 0.00000 0.00000 0.00000 0.75080
4465.0 0.46304 0.00000 0.00000 0.00000 0.00000 0.75197
4470.0 0.46450 0.00000 0.00000 0.00000 0.00000 0.75274
4475.0 0.46591 0.00000 0.00000 0.00000 0.00000 0.75346
4480.0 0.46705 0.00000 0.00000 0.00000 0.00000 0.75373
4485.0 0.46858 0.00000 0.00000 0.00000 0.00000 0.75422
4490.0 0.47038 0.00000 0.00000 0.00000 0.00000 0.75515
4495.0 0.47238 0.00000 0.00000 0.00000 0.00000 0.75639
4500.0 0.47420 0.00000 0.00000 0.00000 0.00000 0.75734
4505.0 0.47581 0.00000 0.00000 0.00000 0.00000 0.75812
4510.0 0.47739 0.00000 0.00000 0.00000 0.00000 0.75884
4515.0 0.47891 0.00000 0.00000 0.00000 0.00000 0.75946
4520.0 0.48054 0.00000 0.00000 0.00000 0.00000 0.76025
4525.0 0.48262 0.00000 0.00000 0.00000 0.00000 0.76088
4530.0 0.48474 0.00000 0.00000 0.00000 0.00000 0.76158
4535.0 0.48693 0.00000 0.00000 0.00000 0.00000 0.76237
4540.0 0.48916 0.00000 0.00000 0.00000 0.00000 0.76323
4545.0 0.49047 0.00000 0.00000 0.00000 0.00000 0.76410
4550.0 0.49163 0.00000 0.00000 0.00000 0.00000 0.76472
4555.0 0.49273 0.00000 0.00000 0.00000 0.00000 0.76527
4560.0 0.49394 0.00000 0.00000 0.00000 0.00000 0.76597
4565.0 0.49471 0.00000 0.00000 0.00000 0.00000 0.76667
4570.0 0.49548 0.00000 0.00000 0.00000 0.00000 0.76737
4575.0 0.49620 0.00000 0.00000 0.00000 0.00000 0.76800
4580.0 0.49672 0.00000 0.00000 0.00000 0.00000 0.76831
4585.0 0.49849 0.00000 0.00000 0.00000 0.00000 0.76871
4590.0 0.50045 0.00000 0.00000 0.00000 0.00000 0.76941
4595.0 0.50247 0.00000 0.00000 0.00000 0.00000 0.77018
4600.0 0.50439 0.00000 0.00000 0.00000 0.00000 0.77081
4605.0 0.50623 0.00000 0.00000 0.00000 0.00000 0.77135
4610.0 0.50808 0.00000 0.00000 0.00000 0.00000 0.77190
4615.0 0.50997 0.00000 0.00000 0.00000 0.00000 0.77252
4620.0 0.51202 0.00000 0.00000 0.00000 0.00000 0.77337
4625.0 0.51366 0.00000 0.00000 0.00000 0.00000 0.77414
4630.0 0.51521 0.00000 0.00000 0.00000 0.00000 0.77476
4635.0 0.51661 0.00000 0.00000 0.00000 0.00000 0.77515
4640.0 0.51810 0.00000 0.00000 0.00000 0.00000 0.77568
4645.0 0.51951 0.00000 0.00000 0.00000 0.00000 0.77653
4650.0 0.52097 0.00000 0.00000 0.00000 0.00000 0.77745
4655.0 0.52254 0.00000 0.00000 0.00000 0.00000 0.77854
4660.0 0.52401 0.00000 0.00000 0.00000 0.00000 0.77947
4665.0 0.52444 0.00000 0.00000 0.00000 0.00000 0.78016
4670.0 0.52460 0.00000 0.00000 0.00000 0.00000 0.78045
4675.0 0.52483 0.00000 0.00000 0.00000 0.00000 0.78084
4680.0 0.52515 0.00000 0.00000 0.00000 0.00000 0.78137
4685.0 0.52605 0.00000 0.00000 0.00000 0.00000 0.78207
4690.0 0.52689 0.00000 0.00000 0.00000 0.00000 0.78268
4695.0 0.52779 0.00000 0.00000 0.00000 0.00000 0.78336
4700.0 0.52875 0.00000 0.00000 0.00000 0.00000 0.78414
4705.0 0.53006 0.00000 0.00000 0.00000 0.00000 0.78467
4710.0 0.53144 0.00000 0.00000 0.00000 0.00000 0.78527
4715.0 0.53286 0.00000 0.00000 0.00000 0.00000 0.78596
4720.0 0.53424 0.00000 0.00000 0.00000 0.00000 0.78657
4725.0 0.53612 0.00000 0.00000 0.00000 0.00000 0.78719
4730.0 0.53800 0.00000 0.00000 0.00000 0.00000 0.78779
