#mbin Z50 Z16 Z84 t50 t16 t84
8.91 -0.60 -1.11 -0.00 9.06 8.80 9.46
9.11 -0.61 -1.07 -0.00 9.09 8.81 9.48
9.31 -0.65 -1.10 -0.05 9.11 8.85 9.44
9.51 -0.61 -1.03 -0.01 9.17 8.89 9.49
9.72 -0.52 -0.97 0.05 9.23 8.94 9.57
9.91 -0.41 -0.90 0.09 9.32 9.00 9.71
10.11 -0.23 -0.80 0.14 9.46 9.09 9.85
10.31 -0.11 -0.65 0.17 9.61 9.23 9.93
10.51 -0.01 -0.41 0.20 9.73 9.34 9.98
10.72 0.04 -0.24 0.22 9.82 9.48 10.03
10.91 0.07 -0.14 0.24 9.87 9.60 10.06
11.11 0.10 -0.09 0.25 9.90 9.67 10.08
11.31 0.12 -0.06 0.26 9.92 9.72 10.09
11.51 0.13 -0.04 0.28 9.94 9.75 10.11
11.72 0.14 -0.03 0.29 9.95 9.76 10.12
11.91 0.15 -0.03 0.30 9.96 9.77 10.12
